logT	 logRho		logP		u	s
 -6.00   -10.00    -2.136800123271817E+01     2.800847760972221E-05     1.459876141560405E-04
 -6.00    -9.90    -2.136800123271817E+01     2.800610959209019E-05     1.173891497085260E-04
 -6.00    -9.80    -2.136800123271817E+01     2.800422860882475E-05     9.467258192810658E-05
 -6.00    -9.70    -2.136800123271817E+01     2.800273449070797E-05     7.662817074409125E-05
 -6.00    -9.60    -2.136800123271817E+01     2.800154767050180E-05     6.229498546165356E-05
 -6.00    -9.50    -2.136800123271817E+01     2.800060494570249E-05     5.090973169827877E-05
 -6.00    -9.40    -2.136800123271817E+01     2.799985611277683E-05     4.186610317452927E-05
 -6.00    -9.30    -2.136800123271817E+01     2.799926129364089E-05     3.468249369375716E-05
 -6.00    -9.20    -2.136800123271817E+01     2.799878881200665E-05     2.897634985594676E-05
 -6.00    -9.10    -2.136800123271817E+01     2.799841350650419E-05     2.444379869417606E-05
 -6.00    -9.00    -2.136800123271817E+01     2.799811539074694E-05     2.084346533104925E-05
 -6.00    -8.90    -2.136800123271817E+01     2.799787858898374E-05     1.798361888629779E-05
 -6.00    -8.80    -2.136800123271817E+01     2.799769049065719E-05     1.571196210825585E-05
 -6.00    -8.70    -2.136800123271817E+01     2.799754107884552E-05     1.390752098985432E-05
 -6.00    -8.60    -2.136800123271817E+01     2.799742239682490E-05     1.247420246161055E-05
 -6.00    -8.50    -2.136800123271817E+01     2.799732812434497E-05     1.133567708527307E-05
 -6.00    -8.40    -2.136800123271817E+01     2.799725324105240E-05     1.043131423289812E-05
 -6.00    -8.30    -2.136800123271817E+01     2.799719375913881E-05     9.712953284820913E-06
 -6.00    -8.20    -2.136800123271817E+01     2.799714651097538E-05     9.142338901039872E-06
 -6.00    -8.10    -2.136800123271817E+01     2.799710898042514E-05     8.689083784862802E-06
 -6.00    -8.00    -2.136800123271817E+01     2.799707916884941E-05     8.329050448550122E-06
 -6.00    -7.90    -2.136800123271817E+01     2.799705548867309E-05     8.043065804074975E-06
 -6.00    -7.80    -2.136800123271817E+01     2.799703667884044E-05     7.815900126270780E-06
 -6.00    -7.70    -2.136800123271817E+01     2.799702173765927E-05     7.635456014430631E-06
 -6.00    -7.60    -2.136800123271817E+01     2.799700986945721E-05     7.492124161606252E-06
 -6.00    -7.50    -2.136800123271817E+01     2.799700044220921E-05     7.378271623972504E-06
 -6.00    -7.40    -2.136800123271817E+01     2.799699295387996E-05     7.287835338735009E-06
 -6.00    -7.30    -2.136800123271817E+01     2.799698700568860E-05     7.215999243927288E-06
 -6.00    -7.20    -2.136800123271817E+01     2.799698228087226E-05     7.158937805549185E-06
 -6.00    -7.10    -2.136800123271817E+01     2.799697852781723E-05     7.113612293931477E-06
 -6.00    -7.00    -2.136800123271817E+01     2.799697554665966E-05     7.077608960300209E-06
 -6.00    -6.90    -2.136800123271817E+01     2.799697317864203E-05     7.049010495852695E-06
 -6.00    -6.80    -2.136800123271817E+01     2.799697129765876E-05     7.026293928072275E-06
 -6.00    -6.70    -2.136800123271817E+01     2.799696980354064E-05     7.008249516888260E-06
 -6.00    -6.60    -2.136800123271817E+01     2.799696861672044E-05     6.993916331605822E-06
 -6.00    -6.50    -2.136800123271817E+01     2.799696767399564E-05     6.982531077842448E-06
 -6.00    -6.40    -2.136800123271817E+01     2.799696692516271E-05     6.973487449318698E-06
 -6.00    -6.30    -2.136800123271817E+01     2.799696633034358E-05     6.966303839837925E-06
 -6.00    -6.20    -2.136800123271817E+01     2.799696585786194E-05     6.960597696000115E-06
 -6.00    -6.10    -2.136800123271817E+01     2.799696548255644E-05     6.956065144838345E-06
 -6.00    -6.00    -2.136800123271817E+01     2.799696518444068E-05     6.952464811475218E-06
 -6.00    -5.90    -2.136800123271817E+01     2.799696494763892E-05     6.949604965030467E-06
 -6.00    -5.80    -2.136800123271817E+01     2.799696475954059E-05     6.947333308252425E-06
 -6.00    -5.70    -2.136800123271817E+01     2.799696461012878E-05     6.945528867134023E-06
 -6.00    -5.60    -2.136800123271817E+01     2.799696449144676E-05     6.944095548605779E-06
 -6.00    -5.50    -2.136800123271817E+01     2.799696439717428E-05     6.942957023229442E-06
 -6.00    -5.40    -2.136800123271817E+01     2.799696432229099E-05     6.942052660377067E-06
 -6.00    -5.30    -2.136800123271817E+01     2.799696426280908E-05     6.941334299428989E-06
 -6.00    -5.20    -2.136800123271817E+01     2.799696421556091E-05     6.940763685045209E-06
 -6.00    -5.10    -2.136800123271817E+01     2.799696417803036E-05     6.940310429929032E-06
 -6.00    -5.00    -2.136800123271817E+01     2.799696414821879E-05     6.939950396592719E-06
 -6.00    -4.90    -2.136800123271817E+01     2.799696412453861E-05     6.939664411948244E-06
 -6.00    -4.80    -2.136800123271817E+01     2.799696410572878E-05     6.939437246270440E-06
 -6.00    -4.70    -2.136800123271817E+01     2.799696409078759E-05     6.939256802158599E-06
 -6.00    -4.60    -2.136800123271817E+01     2.799696407891939E-05     6.939113470305775E-06
 -6.00    -4.50    -2.136800123271817E+01     2.799696406949215E-05     6.938999617768141E-06
 -6.00    -4.40    -2.136800123271817E+01     2.799696406200382E-05     6.938909181482904E-06
 -6.00    -4.30    -2.136800123271817E+01     2.799696405605563E-05     6.938837345388096E-06
 -6.00    -4.20    -2.136800123271817E+01     2.799696405133081E-05     6.938780283949718E-06
 -6.00    -4.10    -2.136800123271817E+01     2.799696404757775E-05     6.938734958438100E-06
 -6.00    -4.00    -2.136800123271817E+01     2.799696404459660E-05     6.938698955104469E-06
 -6.00    -3.90    -2.136800123271817E+01     2.799696404222858E-05     6.938670356640021E-06
 -6.00    -3.80    -2.136800123271817E+01     2.799696404034760E-05     6.938647640072241E-06
 -6.00    -3.70    -2.136800123271817E+01     2.799696403885348E-05     6.938629595661057E-06
 -6.00    -3.60    -2.136800123271817E+01     2.799696403766666E-05     6.938615262475775E-06
 -6.00    -3.50    -2.136800123271817E+01     2.799696403672393E-05     6.938603877222011E-06
 -6.00    -3.40    -2.136800123271817E+01     2.799696403597510E-05     6.938594833593487E-06
