logT	 logRho		logP		u	s
 -6.00    -5.60    -2.132486436372320E+01     9.546543811533439E-06     3.006272471623408E-06
 -6.00    -5.50    -2.132486436372320E+01     9.546543733858908E-06     3.005019651921311E-06
 -6.00    -5.40    -2.132486436372320E+01     9.546543672159834E-06     3.004024501858916E-06
 -6.00    -5.30    -2.132486436372320E+01     9.546543623150518E-06     3.003234026066568E-06
 -6.00    -5.20    -2.132486436372320E+01     9.546543584221035E-06     3.002606128825841E-06
 -6.00    -5.10    -2.132486436372320E+01     9.546543553298245E-06     3.002107372319025E-06
 -6.00    -5.00    -2.132486436372320E+01     9.546543528735403E-06     3.001711195943409E-06
 -6.00    -4.90    -2.132486436372320E+01     9.546543509224443E-06     3.001396501862326E-06
 -6.00    -4.80    -2.132486436372320E+01     9.546543493726335E-06     3.001146531468422E-06
 -6.00    -4.70    -2.132486436372320E+01     9.546543481415751E-06     3.000947972926698E-06
 -6.00    -4.60    -2.132486436372320E+01     9.546543471637108E-06     3.000790252270762E-06
 -6.00    -4.50    -2.132486436372320E+01     9.546543463869655E-06     3.000664970300552E-06
 -6.00    -4.40    -2.132486436372320E+01     9.546543457699747E-06     3.000565455294312E-06
 -6.00    -4.30    -2.132486436372320E+01     9.546543452798816E-06     3.000486407715078E-06
 -6.00    -4.20    -2.132486436372320E+01     9.546543448905868E-06     3.000423617991005E-06
 -6.00    -4.10    -2.132486436372320E+01     9.546543445813588E-06     3.000373742340323E-06
 -6.00    -4.00    -2.132486436372320E+01     9.546543443357304E-06     3.000334124702762E-06
 -6.00    -3.90    -2.132486436372320E+01     9.546543441406208E-06     3.000302655294653E-06
 -6.00    -3.80    -2.132486436372320E+01     9.546543439856397E-06     3.000277658255263E-06
 -6.00    -3.70    -2.132486436372320E+01     9.546543438625339E-06     3.000257802401091E-06
 -6.00    -3.60    -2.132486436372320E+01     9.546543437647475E-06     3.000242030335497E-06
 -6.00    -3.50    -2.132486436372320E+01     9.546543436870729E-06     3.000229502138476E-06
 -6.00    -3.40    -2.132486436372320E+01     9.546543436253738E-06     3.000219550637852E-06
 -6.00    -3.30    -2.132486436372320E+01     9.546543435763645E-06     3.000211645879929E-06
 -6.00    -3.20    -2.132486436372320E+01     9.546543435374351E-06     3.000205366907522E-06
 -6.00    -3.10    -2.132486436372320E+01     9.546543435065123E-06     3.000200379342453E-06
 -6.00    -3.00    -2.132486436372320E+01     9.546543434819495E-06     3.000196417578697E-06
 -6.00    -2.90    -2.132486436372320E+01     9.546543434624384E-06     3.000193270637886E-06
 -6.00    -2.80    -2.132486436372320E+01     9.546543434469403E-06     3.000190770933947E-06
 -6.00    -2.70    -2.132486436372320E+01     9.546543434346298E-06     3.000188785348530E-06
 -6.00    -2.60    -2.132486436372320E+01     9.546543434248512E-06     3.000187208141971E-06
 -6.00    -2.50    -2.132486436372320E+01     9.546543434170837E-06     3.000185955322269E-06
 -6.00    -2.40    -2.132486436372320E+01     9.546543434109137E-06     3.000184960172206E-06
 -6.00    -2.30    -2.132486436372320E+01     9.546543434060128E-06     3.000184169696414E-06
 -6.00    -2.20    -2.132486436372320E+01     9.546543434021198E-06     3.000183541799173E-06
 -6.00    -2.10    -2.132486436372320E+01     9.546543433990277E-06     3.000183043042666E-06
 -6.00    -2.00    -2.132486436372320E+01     9.546543433965713E-06     3.000182646866291E-06
 -6.00    -1.90    -2.132486436372320E+01     9.546543433946202E-06     3.000182332172209E-06
 -6.00    -1.80    -2.132486436372320E+01     9.546543433930705E-06     3.000182082201815E-06
 -6.00    -1.70    -2.132486436372320E+01     9.546543433918394E-06     3.000181883643274E-06
 -6.00    -1.60    -2.132486436372320E+01     9.546543433908614E-06     3.000181725922618E-06
 -6.00    -1.50    -2.132486436372320E+01     9.546543433900847E-06     3.000181600640648E-06
 -6.00    -1.40    -2.132486436372320E+01     9.546543433894677E-06     3.000181501125641E-06
 -6.00    -1.30    -2.132486436372320E+01     9.546543433889776E-06     3.000181422078062E-06
 -6.00    -1.20    -2.132486436372320E+01     9.546543433885883E-06     3.000181359288338E-06
 -6.00    -1.10    -2.132486436372320E+01     9.546543433882792E-06     3.000181309412688E-06
 -6.00    -1.00    -2.132486436372320E+01     9.546543433880335E-06     3.000181269795050E-06
 -6.00    -0.90    -2.132486436372320E+01     9.546543433878384E-06     3.000181238325642E-06
 -6.00    -0.80    -2.132486436372320E+01     9.546543433876834E-06     3.000181213328603E-06
 -6.00    -0.70    -2.132486436372320E+01     9.546543433875604E-06     3.000181193472748E-06
 -6.00    -0.60    -2.132486436372320E+01     9.546543433874625E-06     3.000181177700682E-06
 -6.00    -0.50    -2.132486436372320E+01     9.546543433873849E-06     3.000181165172486E-06
 -6.00    -0.40    -2.132486436372320E+01     9.546543433873232E-06     3.000181155220985E-06
 -6.00    -0.30    -2.132486436372320E+01     9.546543433872741E-06     3.000181147316227E-06
 -6.00    -0.20    -2.132486436372320E+01     9.546543433872353E-06     3.000181141037255E-06
 -6.00    -0.10    -2.132486436372320E+01     9.546543433872043E-06     3.000181136049690E-06
 -6.00     0.00    -2.132486436372320E+01     9.546543433871797E-06     3.000181132087926E-06
 -6.00     0.10    -2.132486436372320E+01     9.546543433871602E-06     3.000181128940985E-06
 -6.00     0.20    -2.132486436372320E+01     9.546543433871446E-06     3.000181126441281E-06
 -6.00     0.30    -2.132486436372320E+01     9.546543433871324E-06     3.000181124455696E-06
 -6.00     0.40    -2.132486436372320E+01     9.546543433871226E-06     3.000181122878489E-06
 -6.00     0.50    -2.132486436372320E+01     9.546543433871148E-06     3.000181121625669E-06
 -6.00     0.60    -2.132486436372320E+01     9.546543433871087E-06     3.000181120630519E-06
 -6.00     0.70    -2.132486436372320E+01     9.546543433871038E-06     3.000181119840044E-06
