# pressure[GPa]	radius[R_earth] temperature[K] density[g/cc]
2.1230E+00	3.633110	1222.6	1.8804E-01
2.1730E+00	3.629131	1230.2	1.8977E-01
2.2237E+00	3.625152	1237.9	1.9149E-01
2.2748E+00	3.621172	1245.5	1.9321E-01
2.3265E+00	3.617193	1253.2	1.9491E-01
2.3788E+00	3.613214	1260.9	1.9653E-01
2.4316E+00	3.609234	1268.6	1.9816E-01
2.4849E+00	3.605255	1276.3	1.9979E-01
2.5388E+00	3.601276	1284.1	2.0140E-01
2.5931E+00	3.597297	1291.8	2.0301E-01
2.6481E+00	3.593317	1299.6	2.0462E-01
2.7035E+00	3.589338	1307.4	2.0622E-01
2.7595E+00	3.585359	1315.2	2.0782E-01
2.8161E+00	3.581379	1323.0	2.0942E-01
2.8731E+00	3.577400	1330.9	2.1102E-01
2.9307E+00	3.573421	1338.8	2.1262E-01
2.9889E+00	3.569441	1346.6	2.1421E-01
3.0476E+00	3.565462	1354.6	2.1580E-01
3.1068E+00	3.561483	1362.5	2.1738E-01
3.1666E+00	3.557503	1370.5	2.1896E-01
3.2269E+00	3.553524	1378.4	2.2054E-01
3.2878E+00	3.549545	1386.4	2.2213E-01
3.3492E+00	3.545566	1394.5	2.2372E-01
3.4112E+00	3.541586	1402.5	2.2531E-01
3.4737E+00	3.537607	1410.6	2.2689E-01
3.5368E+00	3.533628	1418.7	2.2847E-01
3.6005E+00	3.529648	1426.8	2.3005E-01
3.6647E+00	3.525669	1435.0	2.3162E-01
3.7294E+00	3.521690	1443.1	2.3319E-01
3.7947E+00	3.517710	1451.3	2.3476E-01
3.8606E+00	3.513731	1459.6	2.3632E-01
3.9270E+00	3.509752	1467.8	2.3787E-01
3.9940E+00	3.505772	1476.1	2.3943E-01
4.0616E+00	3.501793	1484.4	2.4098E-01
4.1297E+00	3.497814	1492.8	2.4253E-01
4.1984E+00	3.493834	1501.2	2.4407E-01
4.2676E+00	3.489855	1509.5	2.4558E-01
4.3374E+00	3.485876	1518.0	2.4712E-01
4.4078E+00	3.481897	1526.4	2.4866E-01
4.4787E+00	3.477917	1534.9	2.5019E-01
4.5502E+00	3.473938	1543.4	2.5172E-01
4.6223E+00	3.469959	1551.9	2.5325E-01
4.6949E+00	3.465979	1560.5	2.5477E-01
4.7681E+00	3.462000	1569.0	2.5629E-01
4.8419E+00	3.458021	1577.6	2.5781E-01
4.9163E+00	3.454041	1586.2	2.5933E-01
4.9912E+00	3.450062	1594.8	2.6085E-01
5.0667E+00	3.446083	1603.4	2.6237E-01
5.1428E+00	3.442103	1612.0	2.6388E-01
5.2195E+00	3.438124	1620.6	2.6540E-01
5.2967E+00	3.434145	1629.2	2.6691E-01
5.3746E+00	3.430166	1637.8	2.6842E-01
5.4530E+00	3.426186	1646.4	2.6992E-01
5.5320E+00	3.422207	1655.1	2.7143E-01
5.6116E+00	3.418228	1663.7	2.7294E-01
5.6918E+00	3.414248	1672.3	2.7445E-01
5.7726E+00	3.410269	1680.9	2.7596E-01
5.8540E+00	3.406290	1689.5	2.7746E-01
5.9359E+00	3.402310	1698.1	2.7897E-01
6.0185E+00	3.398331	1706.7	2.8047E-01
6.1017E+00	3.394352	1715.3	2.8197E-01
6.1854E+00	3.390372	1723.8	2.8347E-01
6.2698E+00	3.386393	1732.4	2.8497E-01
6.3548E+00	3.382414	1740.9	2.8648E-01
6.4404E+00	3.378434	1749.4	2.8800E-01
6.5266E+00	3.374455	1757.9	2.8953E-01
6.6134E+00	3.370476	1766.4	2.9105E-01
6.7009E+00	3.366497	1774.9	2.9257E-01
6.7889E+00	3.362517	1783.3	2.9409E-01
6.8776E+00	3.358538	1791.7	2.9561E-01
6.9669E+00	3.354559	1800.1	2.9713E-01
7.0569E+00	3.350579	1808.5	2.9864E-01
7.1475E+00	3.346600	1816.9	3.0016E-01
7.2387E+00	3.342621	1825.2	3.0168E-01
7.3305E+00	3.338641	1833.5	3.0320E-01
7.4230E+00	3.334662	1841.8	3.0472E-01
7.5161E+00	3.330683	1850.0	3.0623E-01
7.6098E+00	3.326703	1858.2	3.0775E-01
7.7042E+00	3.322724	1866.4	3.0927E-01
7.7992E+00	3.318745	1874.5	3.1078E-01
7.8949E+00	3.314766	1882.7	3.1230E-01
7.9912E+00	3.310786	1890.7	3.1381E-01
8.0882E+00	3.306807	1898.8	3.1532E-01
8.1858E+00	3.302828	1906.8	3.1683E-01
8.2841E+00	3.298848	1914.8	3.1833E-01
8.3830E+00	3.294869	1922.7	3.1984E-01
8.4826E+00	3.290890	1930.6	3.2134E-01
8.5829E+00	3.286910	1938.5	3.2284E-01
8.6838E+00	3.282931	1946.4	3.2434E-01
8.7853E+00	3.278952	1954.2	3.2584E-01
8.8876E+00	3.274972	1962.0	3.2734E-01
8.9904E+00	3.270993	1969.8	3.2884E-01
9.0940E+00	3.267014	1977.5	3.3034E-01
9.1982E+00	3.263034	1985.3	3.3184E-01
9.3031E+00	3.259055	1993.0	3.3335E-01
9.4087E+00	3.255076	2000.6	3.3487E-01
9.5150E+00	3.251097	2008.3	3.3639E-01
9.6219E+00	3.247117	2015.9	3.3791E-01
9.7296E+00	3.243138	2023.5	3.3942E-01
9.8379E+00	3.239159	2031.1	3.4094E-01
9.9469E+00	3.235179	2038.7	3.4246E-01
1.0057E+01	3.231200	2046.2	3.4397E-01
1.0167E+01	3.227221	2053.8	3.4549E-01
1.0278E+01	3.223241	2061.3	3.4701E-01
1.0390E+01	3.219262	2068.8	3.4852E-01
1.0502E+01	3.215283	2076.3	3.5004E-01
1.0616E+01	3.211303	2083.8	3.5159E-01
1.0730E+01	3.207324	2091.2	3.5313E-01
1.0844E+01	3.203345	2098.7	3.5468E-01
1.0960E+01	3.199366	2106.1	3.5622E-01
1.1076E+01	3.195386	2113.5	3.5776E-01
1.1193E+01	3.191407	2120.9	3.5931E-01
1.1310E+01	3.187428	2128.3	3.6085E-01
1.1429E+01	3.183448	2135.7	3.6239E-01
1.1548E+01	3.179469	2143.1	3.6394E-01
1.1667E+01	3.175490	2150.5	3.6548E-01
1.1788E+01	3.171510	2157.9	3.6703E-01
1.1909E+01	3.167531	2165.2	3.6857E-01
1.2031E+01	3.163552	2172.6	3.7010E-01
1.2154E+01	3.159572	2179.9	3.7164E-01
1.2278E+01	3.155593	2187.3	3.7318E-01
1.2402E+01	3.151614	2194.6	3.7471E-01
1.2527E+01	3.147634	2202.0	3.7625E-01
1.2653E+01	3.143655	2209.3	3.7779E-01
1.2779E+01	3.139676	2216.6	3.7933E-01
1.2906E+01	3.135697	2224.0	3.8086E-01
1.3035E+01	3.131717	2231.3	3.8240E-01
1.3163E+01	3.127738	2238.6	3.8396E-01
1.3293E+01	3.123759	2246.0	3.8554E-01
1.3423E+01	3.119779	2253.3	3.8711E-01
1.3555E+01	3.115800	2260.6	3.8868E-01
1.3687E+01	3.111821	2268.0	3.9025E-01
1.3819E+01	3.107841	2275.3	3.9182E-01
1.3953E+01	3.103862	2282.6	3.9339E-01
1.4087E+01	3.099883	2290.0	3.9496E-01
1.4223E+01	3.095903	2297.3	3.9654E-01
1.4359E+01	3.091924	2304.7	3.9811E-01
1.4495E+01	3.087945	2312.0	3.9968E-01
1.4633E+01	3.083966	2319.4	4.0126E-01
1.4771E+01	3.079986	2326.8	4.0283E-01
