density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_podolak_[K],radius_[m]
0.26316,2.8436,1386.6,3211.4,2241800000.0
0.26751,2.9189000000000003,1392.4,3217.7,2239200000.0
0.27189,2.9957000000000003,1398.2,3223.9,2236700000.0
0.27631,3.0739,1403.9,3230.0,2234200000.0
0.28077,3.1534,1409.5,3236.0,2231600000.0
0.28526,3.2344,1415.1,3242.0,2229100000.0
0.28978,3.3169,1420.7,3247.9,2226500000.0
0.29434,3.4008000000000003,1426.2,3253.8,2224000000.0
0.29893,3.4861,1431.6,3259.5,2221500000.0
0.30355,3.5729,1437.0,3265.2,2218900000.0
0.30821,3.6613,1442.4,3270.9,2216400000.0
0.3129,3.7511,1447.7,3276.4,2213900000.0
0.31762,3.8425000000000002,1452.9,3281.9,2211300000.0
0.32238,3.9354,1458.2,3287.4,2208800000.0
0.32717,4.0298,1463.3,3292.8,2206200000.0
0.332,4.125900000000001,1468.4,3298.1,2203700000.0
0.33685,4.2235000000000005,1473.5,3303.3,2201200000.0
0.34174,4.3227,1478.6,3308.5,2198600000.0
0.34667,4.4235,1483.5,3313.7,2196100000.0
0.35162,4.5259,1488.5,3318.7,2193500000.0
0.35661,4.63,1493.4,3323.8,2191000000.0
0.36163,4.7357000000000005,1498.2,3328.7,2188500000.0
0.36669,4.8431,1503.1,3333.6,2185900000.0
0.37178,4.9522,1507.8,3338.5,2183400000.0
0.37689,5.0629,1512.6,3343.2,2180800000.0
0.38205,5.1754,1517.3,3348.0,2178300000.0
0.38723,5.2896,1521.9,3352.6,2175800000.0
0.39244,5.405600000000001,1526.5,3357.2,2173200000.0
0.39769,5.5233,1531.1,3361.7,2170700000.0
0.40297,5.6427000000000005,1535.6,3366.2,2168200000.0
0.40828,5.764,1540.1,3370.5,2165600000.0
0.41362,5.8870000000000005,1544.6,3374.9,2163100000.0
0.419,6.0119,1549.0,3379.1,2160500000.0
0.4244,6.1385000000000005,1553.4,3383.3,2158000000.0
0.42984,6.267,1557.8,3387.5,2155500000.0
0.43531,6.3974,1562.1,3391.5,2152900000.0
0.44081,6.5297,1566.4,3395.6,2150400000.0
0.44634,6.6638,1570.6,3399.5,2147800000.0
0.4519,6.7998,1574.8,3403.4,2145300000.0
0.45749,6.9377,1579.0,3407.3,2142800000.0
0.46311,7.0776,1583.1,3411.1,2140200000.0
0.46876,7.2194,1587.2,3414.8,2137700000.0
0.47445,7.3631,1591.3,3418.5,2135100000.0
0.48016,7.5088,1595.3,3422.2,2132600000.0
0.4859,7.6565,1599.3,3425.8,2130100000.0
0.49168,7.8062000000000005,1603.3,3429.3,2127500000.0
0.49748,7.9579,1607.1,3432.8,2125000000.0
0.50331,8.111600000000001,1610.9,3436.3,2122500000.0
0.50918,8.2674,1614.7,3439.7,2119900000.0
0.51507,8.4252,1618.4,3443.1,2117400000.0
0.52099,8.5851,1622.0,3446.4,2114800000.0
0.52694,8.747,1625.6,3449.7,2112300000.0
0.53292,8.911100000000001,1629.2,3452.9,2109800000.0
0.53893,9.0772,1632.6,3456.1,2107200000.0
0.54497,9.2455,1636.1,3459.2,2104700000.0
0.55103,9.4159,1639.5,3462.3,2102100000.0
0.55713,9.5885,1642.8,3465.4,2099600000.0
0.56325,9.763200000000001,1646.1,3468.4,2097100000.0
0.56941,9.940100000000001,1649.4,3471.4,2094500000.0
0.57559,10.119,1652.6,3474.4,2092000000.0
