logT	 logRho		logP		u	s
 -6.00    -8.80    -2.084816903653015E+01     3.763124061079600E-05     4.112087603983976E-05
 -6.00    -8.70    -2.084816903653015E+01     3.763113179450843E-05     3.542815405817607E-05
 -6.00    -8.60    -2.084816903653015E+01     3.763104535865881E-05     3.090626425570513E-05
 -6.00    -8.50    -2.084816903653015E+01     3.763097670022297E-05     2.731439951129065E-05
 -6.00    -8.40    -2.084816903653015E+01     3.763092216288883E-05     2.446127992949151E-05
 -6.00    -8.30    -2.084816903653015E+01     3.763087884234447E-05     2.219496648862372E-05
 -6.00    -8.20    -2.084816903653015E+01     3.763084443161294E-05     2.039476973380727E-05
 -6.00    -8.10    -2.084816903653015E+01     3.763081709819732E-05     1.896482262339756E-05
 -6.00    -8.00    -2.084816903653015E+01     3.763079538649354E-05     1.782897525943673E-05
 -6.00    -7.90    -2.084816903653015E+01     3.763077814027419E-05     1.692673962790549E-05
 -6.00    -7.80    -2.084816903653015E+01     3.763076444111523E-05     1.621006839140593E-05
 -6.00    -7.70    -2.084816903653015E+01     3.763075355948647E-05     1.564079619323957E-05
 -6.00    -7.60    -2.084816903653015E+01     3.763074491590151E-05     1.518860721299247E-05
 -6.00    -7.50    -2.084816903653015E+01     3.763073805005793E-05     1.482942073855103E-05
 -6.00    -7.40    -2.084816903653015E+01     3.763073259632451E-05     1.454410878037111E-05
 -6.00    -7.30    -2.084816903653015E+01     3.763072826427007E-05     1.431747743628433E-05
 -6.00    -7.20    -2.084816903653015E+01     3.763072482319692E-05     1.413745776080269E-05
 -6.00    -7.10    -2.084816903653015E+01     3.763072208985536E-05     1.399446304976172E-05
 -6.00    -7.00    -2.084816903653015E+01     3.763071991868498E-05     1.388087831336563E-05
 -6.00    -6.90    -2.084816903653015E+01     3.763071819406305E-05     1.379065475021251E-05
 -6.00    -6.80    -2.084816903653015E+01     3.763071682414715E-05     1.371898762656255E-05
 -6.00    -6.70    -2.084816903653015E+01     3.763071573598428E-05     1.366206040674592E-05
