 Output of condall21.f + conduct21.f v.23.04.21; damping strength = 1
   2.00  11.292 10.958 10.638 10.383 10.321 10.480 10.742 11.008 11.207 11.411 11.815 12.223 12.536 13.202 13.918 14.658 15.411 16.167 16.922
   2.25  11.743 11.409 11.080 10.791 10.652 10.751 10.996 11.268 11.497 11.633 12.014 12.413 12.813 13.256 13.958 14.690 15.437 16.190 16.942
   2.50  12.198 11.863 11.530 11.219 11.014 11.040 11.253 11.525 11.773 11.944 12.222 12.605 13.010 13.325 14.002 14.724 15.464 16.213 16.962
   2.75  12.654 12.321 11.986 11.662 11.406 11.351 11.518 11.782 12.042 12.246 12.396 12.798 13.203 13.594 14.053 14.761 15.494 16.238 16.984
   3.00  13.110 12.780 12.446 12.114 11.823 11.691 11.795 12.041 12.307 12.533 12.677 12.996 13.394 13.793 14.115 14.802 15.526 16.264 17.006
   3.25  13.565 13.240 12.908 12.574 12.260 12.061 12.089 12.303 12.569 12.810 12.987 13.205 13.583 13.987 14.359 14.849 15.560 16.291 17.029
   3.50  14.013 13.698 13.370 13.037 12.710 12.460 12.408 12.571 12.830 13.080 13.283 13.409 13.770 14.178 14.568 14.905 15.598 16.321 17.053
   3.75  14.447 14.149 13.831 13.502 13.170 12.882 12.756 12.853 13.092 13.347 13.566 13.719 13.966 14.363 14.762 15.095 15.640 16.352 17.077
   4.00  14.856 14.588 14.286 13.965 13.634 13.324 13.133 13.153 13.356 13.611 13.840 14.018 14.166 14.539 14.951 15.331 15.689 16.385 17.103
   4.25  15.224 15.001 14.728 14.423 14.099 13.777 13.536 13.479 13.627 13.872 14.108 14.302 14.435 14.715 15.130 15.520 15.801 16.421 17.129
   4.50  15.541 15.374 15.145 14.868 14.559 14.236 13.960 13.833 13.910 14.132 14.371 14.575 14.730 14.913 15.292 15.704 16.074 16.460 17.155
   4.75  15.807 15.696 15.523 15.289 15.007 14.694 14.398 14.214 14.214 14.393 14.628 14.837 15.007 15.126 15.443 15.872 16.253 16.518 17.181
   5.00  16.033 15.967 15.850 15.671 15.431 15.142 14.841 14.615 14.543 14.659 14.879 15.090 15.267 15.405 15.607 16.013 16.423 16.786 17.207
   5.25  16.232 16.195 16.125 16.003 15.816 15.567 15.279 15.029 14.896 14.938 15.126 15.334 15.512 15.661 15.785 16.130 16.570 16.945 17.235
   5.50  16.416 16.396 16.356 16.281 16.152 15.956 15.700 15.443 15.267 15.234 15.371 15.569 15.744 15.895 16.021 16.249 16.681 17.091 17.436
   5.75  16.591 16.581 16.559 16.516 16.434 16.295 16.089 15.845 15.646 15.551 15.619 15.794 15.963 16.111 16.245 16.395 16.757 17.208 17.584
   6.00  16.763 16.757 16.745 16.721 16.673 16.583 16.432 16.223 16.020 15.882 15.876 16.011 16.171 16.311 16.445 16.568 16.827 17.284 17.699
   6.25  16.932 16.928 16.922 16.908 16.881 16.826 16.725 16.563 16.376 16.218 16.147 16.224 16.369 16.499 16.627 16.758 16.929 17.321 17.786
   6.50  17.099 17.098 17.094 17.086 17.070 17.038 16.974 16.859 16.702 16.547 16.431 16.440 16.557 16.679 16.796 16.928 17.056 17.349 17.833
   6.75  17.267 17.266 17.264 17.259 17.250 17.230 17.192 17.116 16.995 16.856 16.723 16.666 16.740 16.852 16.959 17.083 17.221 17.414 17.842
   7.00  17.434 17.433 17.432 17.429 17.423 17.412 17.388 17.340 17.253 17.139 17.011 16.907 16.923 17.019 17.117 17.232 17.372 17.513 17.842
   7.25  17.601 17.600 17.599 17.598 17.594 17.587 17.573 17.542 17.484 17.396 17.286 17.162 17.116 17.183 17.274 17.377 17.513 17.659 17.879
   7.50  17.768 17.767 17.767 17.765 17.763 17.759 17.750 17.731 17.693 17.629 17.541 17.423 17.326 17.348 17.429 17.522 17.648 17.801 17.960
   7.75  17.934 17.934 17.934 17.933 17.931 17.928 17.923 17.911 17.886 17.842 17.776 17.677 17.556 17.521 17.584 17.668 17.783 17.936 18.090
   8.00  18.101 18.101 18.101 18.100 18.099 18.097 18.093 18.085 18.070 18.040 17.992 17.917 17.799 17.711 17.740 17.816 17.919 18.066 18.227
   8.25  18.268 18.268 18.267 18.267 18.266 18.265 18.262 18.257 18.247 18.227 18.193 18.139 18.042 17.924 17.902 17.965 18.057 18.194 18.360
   8.50  18.434 18.434 18.434 18.434 18.433 18.432 18.430 18.427 18.420 18.407 18.383 18.345 18.274 18.154 18.078 18.116 18.198 18.323 18.488
   8.75  18.601 18.601 18.601 18.601 18.600 18.599 18.598 18.595 18.591 18.582 18.565 18.538 18.489 18.390 18.277 18.272 18.342 18.454 18.613
   9.00  18.768 18.768 18.768 18.767 18.767 18.766 18.765 18.763 18.760 18.753 18.742 18.722 18.688 18.617 18.497 18.438 18.489 18.588 18.737
   9.25  18.935 18.934 18.934 18.934 18.934 18.933 18.932 18.931 18.928 18.923 18.915 18.900 18.876 18.828 18.727 18.624 18.640 18.726 18.862
   9.50  19.101 19.101 19.101 19.101 19.101 19.100 19.099 19.098 19.096 19.092 19.086 19.074 19.056 19.022 18.951 18.833 18.798 18.867 18.990
   9.75  19.268 19.268 19.268 19.268 19.267 19.267 19.266 19.265 19.263 19.260 19.255 19.246 19.231 19.207 19.158 19.057 18.971 19.012 19.120
   2.00   3.000  3.333  3.667  4.000  4.333  4.667  5.000  5.333  5.667  6.000  6.333  6.667  7.000  7.333  7.667  8.000  8.333  8.667  9.000
  -6.00   2.324  3.037  3.776  4.532  5.299  6.075  6.857  7.644  8.436  9.231 10.029 10.829 11.632 12.435 13.239 14.041 14.838 15.626 16.398
  -5.75   2.379  3.079  3.810  4.560  5.323  6.096  6.876  7.661  8.451  9.245 10.042 10.841 11.643 12.446 13.249 14.050 14.847 15.635 16.408
